YEAR,MONTH,lluvia_mm,temp_max,temp_min,humedad,ph_suelo,Recomendacion
2006,JAN,0.261455525606469,0.15284360189573443,0.30225080385852077,0.844045368620038,0.9582637729549248,3
2007,JAN,0.1274547554871005,0.08056872037914697,0.7170418006430863,0.7807183364839316,0.5409015025041737,3
2008,JAN,0.0947246823257605,0.022511848341232543,0.07395498392282973,0.7665406427221173,0.09015025041736224,2
2009,JAN,0.0731613400077012,0.029620853080568832,0.5836012861736333,0.7438563327032135,0.7879799666110185,1
2010,JAN,0.18521370812475935,0.21327014218009488,0.5080385852090032,0.7178638941398869,0.10016694490818023,2
2011,JAN,0.1855987678090104,0.1172985781990521,0.40353697749196127,0.7547258979206051,0.11853088480801344,2
2012,JAN,0.16288024643819793,0.0,0.4774919614147912,0.7637051039697544,0.25208681135225364,2
2013,JAN,0.03273007316134001,0.12440758293838883,0.42604501607717027,0.7027410207939502,0.4707846410684474,2
2014,JAN,0.08894878706199462,0.07464454976303303,0.39549839228295824,0.7613421550094515,0.21202003338898168,2
2015,JAN,0.2129380053908356,0.08293838862559255,0.6045016077170418,0.8199432892249527,0.9148580968280469,3
2016,JAN,0.08394301116673086,0.23815165876777256,0.49678456591639875,0.7292060491493384,0.13021702838063443,2
2017,JAN,0.16442048517520216,0.15758293838862603,0.4453376205787778,0.7641776937618143,0.15025041736227052,2
2018,JAN,0.45552560646900275,0.07345971563981069,0.6045016077170418,0.9555765595463139,0.7996661101836393,1
2019,JAN,0.027339237581825188,0.3092417061611372,0.5160771704180063,0.6483931947069941,0.1435726210350584,2
2020,JAN,0.16942626107046593,0.1883886255924172,0.6688102893890673,0.8350661625708877,0.3923205342237063,2
2021,JAN,0.12514439738159416,0.10663507109004744,0.26848874598070727,0.8114366729678633,0.9916527545909848,3
2022,JAN,0.053138236426646134,0.14454976303317535,0.5273311897106108,0.6899810964083173,0.664440734557596,3
2023,JAN,0.09973045822102426,0.0556872037914693,0.44855305466237927,0.7977315689981097,0.11018363939899833,2
2024,JAN,0.041201386214863314,0.2902843601895735,0.6446945337620578,0.7703213610586008,0.651085141903172,3
1981,FEB,0.12706969580284944,0.11255924170616094,0.4437299035369773,0.7452741020793949,0.4991652754590985,3
1982,FEB,0.11436272622256452,0.14573459715639814,0.3488745980707393,0.6460302457466911,0.19198664440734559,2
1983,FEB,0.0026954177897574125,0.6244075829383884,0.4726688102893888,0.48676748582230633,0.23706176961602665,1
1984,FEB,0.03812090874085484,0.4040284360189572,0.2524115755627008,0.5737240075614363,0.8363939899833055,1
1985,FEB,0.0150173276857913,0.17417061611374418,0.30225080385852077,0.45652173913043503,0.5058430717863105,1
1986,FEB,0.014247208317289184,0.37085308056872046,0.0,0.3270321361058599,0.953255425709516,1
1987,FEB,0.04351174432036966,0.3139810426540284,0.5225080385852088,0.6394139886578447,0.5242070116861437,1
1988,FEB,0.03157489410858683,0.5592417061611372,0.5466237942122187,0.4981096408317578,0.6076794657762938,1
1989,FEB,0.02271852137081248,0.43483412322274884,0.45659163987138274,0.3549149338374291,0.7629382303839733,1
1990,FEB,0.03273007316134001,0.4040284360189572,0.43729903536977477,0.36909262759924344,0.2904841402337228,2
1991,FEB,0.05082787832113979,0.3376777251184837,0.39067524115755625,0.4962192816635156,0.23706176961602665,2
1992,FEB,0.03735078937235272,0.6990521327014219,0.3376205787781348,0.32797731568998145,0.342237061769616,1
1993,FEB,0.007316134000770119,0.6007109004739335,0.4453376205787778,0.16965973534971646,0.2988313856427379,1
1994,FEB,0.010396611474778591,0.5390995260663507,0.45016077170418023,0.26370510396975444,0.3355592654424039,1
1995,FEB,0.014632268001540242,0.5533175355450237,0.30064308681672025,0.22637051039697553,0.27212020033388973,1
1996,FEB,0.057758952637658845,0.3992890995260665,0.24115755627009627,0.46597353497164473,0.0116861435726211,2
1997,FEB,0.05005775895263767,0.3637440758293842,0.5160771704180063,0.5033081285444232,0.7979966611018363,1
1998,FEB,0.01116673084328071,0.7796208530805688,0.5932475884244373,0.3501890359168245,0.9766277128547578,1
1999,FEB,0.1678860223334617,0.06990521327014232,0.39549839228295824,0.7325141776937611,0.3622704507512521,2
2000,FEB,0.11205236811705817,0.0035545023696683664,0.4340836012861733,0.7438563327032135,0.1636060100166945,2
2001,FEB,0.08201771274547556,0.1113744075829386,0.45819935691318325,0.5845935727788278,0.20200333889816358,2
2002,FEB,0.052368117058144016,0.20734597156398094,0.4999999999999998,0.5954631379962194,0.657762938230384,1
2003,FEB,0.07778205621871391,0.27014218009478697,0.44212218649517676,0.6587901701323249,0.43572621035058434,2
2004,FEB,0.08509819021948403,0.4431279620853079,0.37459807073954976,0.5987712665406422,0.6911519198664442,1
2005,FEB,0.16095494801694263,0.3092417061611372,0.2861736334405143,0.7178638941398869,0.5525876460767947,3
2006,FEB,0.09356950327300734,0.16113744075829395,0.4324758842443728,0.6895085066162565,0.696160267111853,3
2007,FEB,0.005005775895263766,0.29620853080568743,0.36977491961414777,0.5018903591682418,0.07011686143572626,2
2008,FEB,0.07778205621871391,0.13507109004739348,0.27170418006430874,0.6918714555765595,0.9115191986644409,3
